text,user,created_at,timestamp,geo,lang
Claudio Ranieri surprised at Arsenal’s Premier League title drought http://t.co/R6GEDdyt6x http://t.co/zJi7KAEODF,LeeannLopez205,2015-09-26 13:54:16,1443275656494,,en
Go gunnersssssssss @Arsenal,121oseti,2015-09-26 13:54:17,1443275657285,,en
"Selfie while waiting the next matches. Leicester vs arsenal.Tottenham beat Man city 5-1. Thats why… https://t.co/R8p4uUoS1h",lanphuonghn,2015-09-26 13:54:17,1443275657710,,en
"And here comes the #Arsenal ...

#COYG #LCFCvAFC",chief_barney,2015-09-26 13:54:17,1443275657880,,en
COME ON ARSENAL!,OlivierKGooner,2015-09-26 13:54:17,1443275657961,,en
"Mudah""an mendapat 3 point(amiiin) go@arsenal",FaozanHabib,2015-09-26 13:54:17,1443275657812,,in
Petition to stop Dean reffing Arsenal games set for Parliament debate after reaching 100k signatures http://t.co/t2V0T7FtVd via @MetroUK,ngalaltany,2015-09-26 13:54:17,1443275657877,,en
Come on Arsenal!!,Tochoz,2015-09-26 13:54:18,1443275658056,,en
Why won't Dstv show Arsenal's game ? What is this one saying.,ayweezil,2015-09-26 13:54:18,1443275658155,,en
Come on #Arsenal !,Val_Aiir,2015-09-26 13:54:18,1443275658387,,en
"We're moments from kick off at King Power stadium.
#leiars",kipyegOnline,2015-09-26 13:54:18,1443275658558,,en
"Raneri's brother from another mother, Steve Martin 😁 #leiars #gw8 #epl http://t.co/eIHD5Z61sG",jacqueifer,2015-09-26 13:54:18,1443275658612,,en
"Leicester 3 (Vardy '7, '16, Cazorla '78 o.g.) - Arsenal 2 (Walcott '44, Giroud '77)",gnepon,2015-09-26 13:54:18,1443275658863,,it
Leicester are the only unbeaten team in the league.,ThatWeirdLad,2015-09-26 13:54:18,1443275658831,,en
"Leicester City VS Arsenal

Live Stream : http://t.co/ZQ17BRfXh3

ftblsk6 #LeiArs #afc #lcfc LCFCvAFC #arsenal #COYG #arsenalday",Canli_Maclar,2015-09-26 13:54:19,1443275659383,,en
The buzz I get when I see @19SCazorla on the team sheet. Come on the gunners.#arsenal #afcvslcfc,marco_3108,2015-09-26 13:54:19,1443275659542,,en
Bon j'espère que Mahrez va pas faire trop mal a Arsenal. #LeiArs,Flo_Jly,2015-09-26 13:54:19,1443275659653,,fr
@LCFC #TweetMyGoal 4,FUTPopman_,2015-09-26 13:54:19,1443275659659,,und
This is a match Arsenal should use to make a statement of internt after the loss to Cfc. Go gunners. #afc .,Gbengageorge,2015-09-26 13:54:19,1443275659865,,en
I hope they dont  https://t.co/2TJdMurC4u,Busaryoh,2015-09-26 13:54:20,1443275660016,,en
"Leicester City VS Arsenal

Live Stream : http://t.co/zcPjDhRERp

ftblsk6 #LeiArs #afc #lcfc LCFCvAFC #arsenal #Gunners #COYG #BPL",Morinternet,2015-09-26 13:54:20,1443275660243,,en
"Leicester City V Arsenal

Live Link: http://t.co/dOTxVuf27m

ftblsk6 #LeiArs #arsenal #afc #lcfc #LCFCvAFC #RWC2015 #OTD #matchday",NarAtmaca,2015-09-26 13:54:20,1443275660425,,en
@trueNBAfan for Arsenal? Not today,boomer4568,2015-09-26 13:54:20,1443275660427,,en
"COME ON @Arsenal , LET'S DO THIS!!! #AFC #COYG #UTA #Arsenal  https://t.co/qbQ6Rn4tv3",Alexissancheezz,2015-09-26 13:54:20,1443275660401,,en
"I cheer for #leicestercity since 1884 when it was called Leicester Fosse! C'on folks let's take the lead from Man City 💪
#LeiArs",1984mhk,2015-09-26 13:54:20,1443275660703,,en
@Mac_Q9 @nealcol @Arsenal @AJscheepers otherwise he will forever be a specialist in something most of us know hahaha❌,mthue,2015-09-26 13:54:20,1443275660730,,en
@Facuubobadilla1 el arsenal completo,JuanjinC,2015-09-26 13:54:20,1443275660910,,es
CMONNNNN ARSENAL!!!!!!  #AFC,manishr2k,2015-09-26 13:54:20,1443275660999,,en
Never thought I'd say it but go on Leicester,DominickDenis_,2015-09-26 13:54:21,1443275661187,,en
"Puntos del Leicester en Premier League
Últimos 15 partidos: 34 (10V-4E-1D)
48 partidos anteriores: 34 (6V-16E-26D)",LaMediaInglesa,2015-09-26 13:54:21,1443275661307,,es
"5 minutes to go, come on #Arsenal",ThaWisp,2015-09-26 13:54:21,1443275661390,,en
"wow if arsenal fans where mancity fans, the internett would be broken again and again #ShittFA",K9Football,2015-09-26 13:54:21,1443275661423,,en
"Arsenal XI v Leicester: Cech; Bellerin, Koscielny, Mertesacker, Monreal; Flamini, Cazorla; Ramsey, Ozil, Sanchez; Walcott",osasvetex,2015-09-26 13:54:21,1443275661679,,sk
"Wenger loves Walcott...I question how good Walcott will be. I prefer Giroud starting consistently..maybe I'm wrong, time will tell #Arsenal",JV_Uno,2015-09-26 13:54:21,1443275661890,,en
COYG❤️❤️ https://t.co/xT4Cj2gjzz,faisalagab,2015-09-26 13:54:22,1443275662238,,in
"""@jonesmen: I hope and pray we beat Leicester 😆😆😆😆🙈🙈"" plixxx my tl is not soosi deeper life...",Dipo_adebowale,2015-09-26 13:54:22,1443275662367,,en
So...@ManUtd &amp; @LCFC could be the TOP TWO in the Premier League tonight!! GO FOR IT LADS!! :) #MUFC #LCFC #BPL #Brilliant,orbitalraver,2015-09-26 13:54:22,1443275662762,,en
Arsenal wearing their gold kit! #COYG,firdauslefter,2015-09-26 13:54:22,1443275662985,,en
Wait and see Arsenal end Leicester's unbeaten record,Khi_bet,2015-09-26 13:54:23,1443275663072,,en
Leicester toujours invaincus. Vous avez intérêt à faire le taff !  #COYG,jojols1,2015-09-26 13:54:23,1443275663310,,fr
U guys ready? It's time for BOLASEPAK SEBENAR #Arsenal,HyzIlyz,2015-09-26 13:54:23,1443275663286,,en
"Leicester City VS Arsenal

Live Stream : http://t.co/wAjgpUQkcg

ftblsk6 #LeiArs #afc #lcfc LCFCvAFC #arsenal #COYG #arsenalday",markacin,2015-09-26 13:54:23,1443275663917,,en
"はーん！きたきたーーー！
テンションもMAX⤴⤴⤴⤴⤴⤴ｗ
C'mon Arsenal！！٩('ω')ﻭ",05ryujin08,2015-09-26 13:54:23,1443275663979,,ja
@GoodenDimz I didn't know that Arsenal won the title by beating UTD at Old Trafford in year...That must have been hot...,Flysten,2015-09-26 13:54:24,1443275664328,,en
"The fucking bellends on twitter, Arsenal and Rags... noticed there's no scouse or geordies taking the piss #TheseThingsHappen",Jumbocords,2015-09-26 13:54:24,1443275664890,,en
"Leicester City VS Arsenal

Live Stream : http://t.co/AZKuWQlaEf

ftblsk6 #LeiArs #afc #lcfc LCFCvAFC #arsenal #Gunners #COYG #BPL",sevimlielaa,2015-09-26 13:54:25,1443275665086,,en
LIVE on #Periscope: Leicester v Arsenal 🐺 https://t.co/nvEQljn53r,Deacyliam,2015-09-26 13:54:25,1443275665651,,en
Leicester are the only unbeaten Premier League side this season and that ain't about to change today 🙅🏽,BeckyJArcher,2015-09-26 13:54:25,1443275665955,,en
Need a convincing performance today and hopefully 3 points! #AFC #awaydays,Smithy_AFC,2015-09-26 13:54:26,1443275666335,,en
Reckon a win against a tough looking Leicester. Flamini needs to re-produce THAT performance against Sp*rs. #COYG #AFC,Prashymak19,2015-09-26 13:54:26,1443275666724,,en
come on Gunners #Arsenal #COYG,Mohamedsaid90,2015-09-26 13:54:27,1443275667370,,en
@Arsenal vamos alersiiii hace un golll,hinojosaorland1,2015-09-26 13:54:27,1443275667906,,es
Leicester will probably lose this one,Naruga1999,2015-09-26 13:54:28,1443275668100,,en
@adamzailan tepong wenger suruh wat kaloh Leicester..ejas2🍌🍌,m_zulhilmizubir,2015-09-26 13:54:28,1443275668238,,in
@jenniferarsenal it's Arsenal. What do you think?,dream_shake,2015-09-26 13:54:28,1443275668781,,en
@castroalv  https://t.co/Zk6yAaz64F,MaiMosss,2015-09-26 13:54:29,1443275669047,,und
I just drafted Alexis Sánchez &amp; Laurent Koscielny on @UltimateFanLive for #lcfc v #arsenal  https://t.co/7nU7Jkc8CP http://t.co/mW2wmYJP2K,Undress_Mendoza,2015-09-26 13:54:28,1443275668924,,sk
Arsenal shouldn't spoil my wknd. City has already given me something to smile about.,temmolai,2015-09-26 13:54:29,1443275669148,,en
@Arsenal http://t.co/nsgPgPs0AO,RequiemAFC,2015-09-26 13:54:29,1443275669077,,und
If Arsenal Chelsea and united can lose I think I'll be ok with today's loss lol,denisVSVP,2015-09-26 13:54:29,1443275669554,,en
@ziggy2710 @Arsenal nice one hammerman!!,spitfiremedia,2015-09-26 13:54:29,1443275669751,,en
Arsenal have taken 22 from the last 27 points available away from home in the Premier League.,Orbinho,2015-09-26 13:54:30,1443275670030,,en
#COYG #Arsenal #BPL,MIkhwan7,2015-09-26 13:54:30,1443275670097,,und
Spurs have done me proud now Leicester could do me a favour,nmasheti,2015-09-26 13:54:30,1443275670578,,en
@LCFC  #tweetmygoal4,samuellittle12,2015-09-26 13:54:30,1443275670752,,und
They rested their players against Arsenal.  https://t.co/0JM3igVAK6,Rabdhul,2015-09-26 13:54:30,1443275670994,,en
aye @Arsenal 3points please. don't play shit today. #COYG. We got this. All the best.,msudi_msudi,2015-09-26 13:54:31,1443275671344,,en
@lethabomaesela1 Lmao..Eish wena Mara!! U make me laugh! Westham and Leicester will make the Top2..,tdollar15,2015-09-26 13:54:31,1443275671317,,en
@WileyUpdates @SpursOfficial Got beat midweek by my team arsenal still 😂😂😆 don't forget yhh 😂😂,khn_akbar,2015-09-26 13:54:31,1443275671541,,en
La première league c 3 points qui sépare les 5 PREMIERS + West ham et Leicester 3ème et 4ème.. Ça commence bien 👐🏼,keyhan95,2015-09-26 13:54:31,1443275671647,,fr
"Nervous abt this game, gonna be tight n difficult. 3 points a must tho after city stumbling. #afc #LCFCvAFC #COYG",Shageee,2015-09-26 13:54:31,1443275671754,,en
Arsenal fan say city be pretenders 😂😂😂,oluku_,2015-09-26 13:54:32,1443275672039,,en
@889BrilaFM #footballliveNG Hello guys I wish my gunners all d best of luck 3- o to arsenal God bless u n keep it d good job,AliYackson,2015-09-26 13:54:32,1443275672093,,en
@LCFC,samuellittle12,2015-09-26 13:54:32,1443275672672,,und
"Official line up @Arsenal againts Leicester City
#LCFCvAFC http://t.co/AHlL72bPdb",LontongGooner,2015-09-26 13:54:32,1443275672746,,en
LIVE: Leicester v Arsenal http://t.co/NNz0e5vJSZ,mayor_bangz,2015-09-26 13:54:32,1443275672888,,en
"""@_Aikay_: Dstv is not showing the arsenal game.....small club.",iamjpapa,2015-09-26 13:54:33,1443275673168,,en
I just drafted Laurent Koscielny &amp; Mesut Özil on @UltimateFanLive for #lcfc v #arsenal  https://t.co/QDTPHDpdTV http://t.co/5MDRSVzVA1,paule2468,2015-09-26 13:54:33,1443275673493,,sv
Three goal lead and a united draw and we are top! #LCFC,Culley_Delite,2015-09-26 13:54:33,1443275673716,,en
@bpldadepre até o Arsenal minúsculo ganhou dos cara cm dois gols do Flamini (!!!!!),rodzera_,2015-09-26 13:54:34,1443275674019,,pt
"RT elnumero5com: 16:00h Premier League

#Leicester v #Arsenal
#Liverpool v #AstonVilla
#ManUnited v #Sunderland
#S… http://t.co/gOmIRzf6RU",veolacurtin67,2015-09-26 13:54:34,1443275674270,,sk
"#Iran's women futsal team wins gold at #AFC championship.✌️
The goal in 1st min of the game.
They are brilliant ❤️‍  https://t.co/hM8oaphst7",Saba_Persia,2015-09-26 13:54:34,1443275674328,,en
We away with Leicester... #TeamArsenal,Gitosammy,2015-09-26 13:54:34,1443275674783,,en
#lcfc v #afc XI http://t.co/RZmFbyMXQJ,ShSalahedin,2015-09-26 13:54:34,1443275674608,,und
@SiaranBolaLive_ Jadwal #LFC sama Arsenal ketuker. Hehe.. https://t.co/5VE5Lx3Prv,fauziamirbontot,2015-09-26 13:54:35,1443275675046,,in
#Arsenal need to teach #LCFC a lesson today. It's long overdue tbh http://t.co/2bAr9DICWW,officialdaddymo,2015-09-26 13:54:35,1443275675058,,en
Leicester Vs Arsenal #COYG,sadiq_aziz,2015-09-26 13:54:35,1443275675643,,en
@SportsAccessSE arsenal game is playing a TV Show?,AFCBowie,2015-09-26 13:54:35,1443275675528,,en
Biraz Arsenal karşısında Riyad Mahrez kardeşimizi izleyelim.,komiksoon,2015-09-26 13:54:35,1443275675652,,tr
@SamuraiSpurs @SpursJapan Spurs is going to Champions league in stead of Arsenal!!!,RyokaS0920,2015-09-26 13:54:35,1443275675607,,en
Mihun briani sebelum game Arsenal. Not bad! http://t.co/D8URyn4HA2,FA_MiroKlose,2015-09-26 13:54:35,1443275675621,,en
"1 pick Inglaterra

Leicester &amp; Arsenal 

+2.5 y ambos anotaran",Bet_Street,2015-09-26 13:54:35,1443275675931,,es
Sign me up. #arsenal http://t.co/ySdJcnKCKI,roberto91,2015-09-26 13:54:36,1443275676451,,en
Ubanka https://t.co/dip3SNKEK5,inaoyebanji_,2015-09-26 13:54:36,1443275676576,,bs
"@I_am_Saye to me it is because if we don't , we will be 2 or 3 with Leicester forming vex and why won't you seize the chance while you can?",Jude_Okonma,2015-09-26 13:54:36,1443275676681,,en
"Leicester City VS Arsenal

Live Stream : http://t.co/fNmLPnsfuy

ftblsk6 #LeiArs #afc #lcfc LCFCvAFC #arsenal #COYG #arsenalday",srcntrgt,2015-09-26 13:54:36,1443275676973,,en
Arsenal !!!!  Its your turn to collect,GBAGAUN_SEEKER,2015-09-26 13:54:37,1443275677235,,en
"Come on arsenal 
مهر العودة للمنافسة هي 3 نقاط من ملعب ليستر",dyooof3,2015-09-26 13:54:37,1443275677317,,ar
It's about to go down..   #coyg #arsenal #afc,tjames_emjay,2015-09-26 13:54:37,1443275677746,,en
COME ON ARSENAL! #AFC,_OmarAFC,2015-09-26 13:54:37,1443275677857,,en
"@BobbyDavro1 It wasn't a bad game and that was from a Arsenal fan,btw loved you in the Big Brother house,a comedian I always idolised.",AchtungCharlie,2015-09-26 13:54:38,1443275678187,,en
@CarolRadull Aaih vichapo kwa Man City tu..#Pellemustgo.. ..#someonetellpellegrini City sio Arsenal,OdariStrabo,2015-09-26 13:54:38,1443275678551,,in
watching Leicester City vs Arsenal,mahmoud35492678,2015-09-26 13:54:38,1443275678634,,en
"Leicester tamitt dagnouy tabaski wei Arsenal. 
#mahrez",laminembengue,2015-09-26 13:54:38,1443275678967,,et
@Bigcat_Bets @ModricEdition after arsenal game,AlbozSG,2015-09-26 13:54:39,1443275679175,,en
Leicester wont be easy,mannie_ross,2015-09-26 13:54:39,1443275679384,,en
C'mon #Arsenal !!!!!!,takasinho,2015-09-26 13:54:39,1443275679437,,fr
Leicester vs Arsenal. Should be a cracking match. COYG !,Amanlovesred,2015-09-26 13:54:39,1443275679504,,en
"Ah ! On retrouve la charnière habituelle à @Arsenal , Kos - Per , ça peut faire effet #LeiArs",Alexandre_Srt,2015-09-26 13:54:39,1443275679793,,fr
Why doesn't it look like a big deal that Spurs have beaten City? It w'd however have been big if AFC had done so. Why?,fedyaaly,2015-09-26 13:54:39,1443275679809,,en
"@LCFC @DonRanieri @vardy7 @okazakiofficial I bet with my friends that if you don't win against Arsenal, I will shave my hair off. COME ON!",tfjjoho69,2015-09-26 13:54:39,1443275679863,,en
