text,user,created_at,timestamp,geo,lang
"Southampton team v Swansea: Stekelenburg, Cédric, Fonte, van Dijk, Bertrand, Wanyama, Ward-Prowse, S. Davis, Mané, Tadić, Pellè. #SOUSWA",TNC_PL,2015-09-26 13:58:33,1443275913517,,sl
Sound clash with my baby 💖 @ Southampton City Centre https://t.co/STVPRVv1iq,millievincent,2015-09-26 13:58:38,1443275918915,"{u'type': u'Point', u'coordinates': [50.9014, -1.4041]}",en
"when will mum understand that just bc southampton is kind of far away, if i want to go to uni there i can ???!!!? :))))",comedownkisses,2015-09-26 13:58:42,1443275922686,,en
Maçı takip edin :14:00 Southampton - Swansea skor :0-0 http://t.co/Gnz7rVeC6I,mac90_dk,2015-09-26 13:58:43,1443275923537,,tr
"Southampton VS Swansea

Live Stream : http://t.co/4gMwt5Ad0I

ftblsk6 #SaintsFC #Swans #WeMarchOn #Stoptober #SOUSWA #GlobalSwans",sewimkayaa,2015-09-26 13:58:53,1443275933602,,en
"XI Swansea : Fabianski - Naughton, Fernandez, A.Williams, Taylor - Ki, Shelvey, Cork - A.Ayew, Sigurdsson, Gomis. #SOUSWA",FreeKick0,2015-09-26 13:58:54,1443275934272,,ht
@footballtips Southampton-swansea +7 ?,nerobianco_03,2015-09-26 13:58:58,1443275938659,,en
Today my United is going on top of the league. I reckon Leicester will slay Arsenal today. Southampton vs Swansea will be fun. #SSFootaball,optimum_desire,2015-09-26 13:59:02,1443275942392,,en
@tanlines @MenInBlazers til they lose 3-0 to Swansea #ThatsSoSpursy,pensgooner,2015-09-26 13:59:02,1443275942617,,en
"¡Arranca el carrusel!

 #MUNSUN
 #LEIARS
 #LIVASV
 #SOUSWA
 #STKBOU
 #WHUNOR

@SpheraSports Toda la #EPL en vivo aquí http://t.co/KBIOYsUcW9",EstadioPremier,2015-09-26 13:59:02,1443275942867,,es
